train.count:58357300|#timestamp:1605779582055
train.count:64024500|#timestamp:1605779582118
train.count:98796600|#timestamp:1605779582217
train.count:83979900|#timestamp:1605779582302
train.count:52235400|#timestamp:1605779582354
train.count:80060100|#timestamp:1605779582434
train.count:93192300|#timestamp:1605779582527
train.count:65372500|#timestamp:1605779582592
train.count:50377800|#timestamp:1605779582643
train.count:53258500|#timestamp:1605779582696
train.count:59010300|#timestamp:1605779582755
train.count:77776600|#timestamp:1605779582833
train.count:61280000|#timestamp:1605779582894
train.count:88421800|#timestamp:1605779582983
train.count:74412800|#timestamp:1605779583056
train.count:62712700|#timestamp:1605779583119
train.count:58597800|#timestamp:1605779583178
train.count:59876400|#timestamp:1605779583238
train.count:55315900|#timestamp:1605779583294
train.count:55729900|#timestamp:1605779583349
train.count:63338300|#timestamp:1605779583412
train.count:62410900|#timestamp:1605779583475
train.count:76514500|#timestamp:1605779583551
train.count:58677800|#timestamp:1605779583610
train.count:58768200|#timestamp:1605779583669
train.count:58107000|#timestamp:1605779583727
train.count:57078300|#timestamp:1605779583783
train.count:58636300|#timestamp:1605779583842
train.count:51311600|#timestamp:1605779583894
train.count:62832000|#timestamp:1605779583957
train.count:74843300|#timestamp:1605779584031
train.count:68546000|#timestamp:1605779584100
train.count:61026300|#timestamp:1605779584161
train.count:71622000|#timestamp:1605779584233
train.count:73160500|#timestamp:1605779584306
train.count:69086200|#timestamp:1605779584375
train.count:77135900|#timestamp:1605779584452
train.count:65130000|#timestamp:1605779584517
train.count:57354200|#timestamp:1605779584575
train.count:59553300|#timestamp:1605779584634
train.count:58747700|#timestamp:1605779584693
train.count:54948800|#timestamp:1605779584748
train.count:64249400|#timestamp:1605779584812
train.count:54621400|#timestamp:1605779584867
train.count:47418500|#timestamp:1605779584914
train.count:49848000|#timestamp:1605779584964
train.count:52362700|#timestamp:1605779585017
train.count:52759100|#timestamp:1605779585070
train.count:57946700|#timestamp:1605779585127
train.count:58772200|#timestamp:1605779585186
train.count:108613800|#timestamp:1605779585295
train.count:77280900|#timestamp:1605779585372
train.count:69436800|#timestamp:1605779585441
train.count:59145000|#timestamp:1605779585500
train.count:62513100|#timestamp:1605779585563
train.count:62760200|#timestamp:1605779585626
train.count:75112100|#timestamp:1605779585700
train.count:51205100|#timestamp:1605779585752
train.count:51402900|#timestamp:1605779585803
train.count:56404300|#timestamp:1605779585860
train.count:59668900|#timestamp:1605779585920
train.count:58523100|#timestamp:1605779585978
train.count:56166400|#timestamp:1605779586035
train.count:54234500|#timestamp:1605779586088
train.count:57586900|#timestamp:1605779586146
train.count:71899000|#timestamp:1605779586218
train.count:57809800|#timestamp:1605779586276
train.count:64399200|#timestamp:1605779586340
train.count:51976000|#timestamp:1605779586393
train.count:56940600|#timestamp:1605779586449
train.count:56230000|#timestamp:1605779586505
train.count:56264700|#timestamp:1605779586561
train.count:58778300|#timestamp:1605779586620
train.count:52575900|#timestamp:1605779586673
train.count:68647100|#timestamp:1605779586742
train.count:60398800|#timestamp:1605779586801
train.count:53131300|#timestamp:1605779586855
train.count:53765500|#timestamp:1605779586909
train.count:93283700|#timestamp:1605779587002
train.count:64460600|#timestamp:1605779587066
train.count:61801100|#timestamp:1605779587128
train.count:73331900|#timestamp:1605779587202
train.count:75320700|#timestamp:1605779587277
train.count:236377100|#timestamp:1605779587513
train.count:98663900|#timestamp:1605779587612
train.count:85347400|#timestamp:1605779587698
train.count:294876200|#timestamp:1605779587992
train.count:163836100|#timestamp:1605779588156
train.count:130127100|#timestamp:1605779588286
train.count:111759000|#timestamp:1605779588398
train.count:156650700|#timestamp:1605779588554
train.count:48748400|#timestamp:1605779588603
train.count:50639100|#timestamp:1605779588654
train.count:133968600|#timestamp:1605779588788
train.count:80969200|#timestamp:1605779588869
train.count:52128200|#timestamp:1605779588921
train.count:85708000|#timestamp:1605779589007
train.count:118771500|#timestamp:1605779589125
train.count:121438700|#timestamp:1605779589247
train.count:74750900|#timestamp:1605779589322
train.count:69846000|#timestamp:1605779589392
train.count:99005600|#timestamp:1605779589490
train.count:67631100|#timestamp:1605779589558
train.count:49595600|#timestamp:1605779589608
train.count:51955800|#timestamp:1605779589660
train.count:54018900|#timestamp:1605779589714
train.count:53895000|#timestamp:1605779589768
train.count:93427000|#timestamp:1605779589861
train.count:66690800|#timestamp:1605779589928
train.count:56696400|#timestamp:1605779589985
train.count:87904000|#timestamp:1605779590073
train.count:60956000|#timestamp:1605779590134
train.count:66965800|#timestamp:1605779590201
train.count:72130000|#timestamp:1605779590272
train.count:75160800|#timestamp:1605779590348
train.count:73646200|#timestamp:1605779590421
train.count:65839000|#timestamp:1605779590487
train.count:59949100|#timestamp:1605779590548
train.count:193059800|#timestamp:1605779590740
train.count:76694300|#timestamp:1605779590817
train.count:53250800|#timestamp:1605779590870
train.count:51143000|#timestamp:1605779590922
train.count:60946500|#timestamp:1605779590982
train.count:58487100|#timestamp:1605779591041
train.count:48134900|#timestamp:1605779591089
train.count:51561100|#timestamp:1605779591140
train.count:61284100|#timestamp:1605779591201
train.count:56918500|#timestamp:1605779591258
train.count:72814800|#timestamp:1605779591331
train.count:69558400|#timestamp:1605779591401
train.count:69535800|#timestamp:1605779591471
train.count:85538200|#timestamp:1605779591556
train.count:87806700|#timestamp:1605779591644
train.count:83555800|#timestamp:1605779591728
train.count:81847100|#timestamp:1605779591810
train.count:80285000|#timestamp:1605779591890
train.count:72053600|#timestamp:1605779591961
train.count:79675600|#timestamp:1605779592041
train.count:68007900|#timestamp:1605779592109
train.count:74256400|#timestamp:1605779592184
train.count:78621500|#timestamp:1605779592262
train.count:78579000|#timestamp:1605779592341
train.count:55059400|#timestamp:1605779592396
train.count:44750000|#timestamp:1605779592441
train.count:42142200|#timestamp:1605779592483
train.count:54777800|#timestamp:1605779592537
train.count:96156000|#timestamp:1605779592634
train.count:64168900|#timestamp:1605779592698
